origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PH_022,walking,Kindergarten,10,0.20964597798652346,790,Sham Shui Po,PH,3444,790,14000,22.32861818,114.1483264
PH_023,walking,Kindergarten,10,0.27636350495680406,804,Kowloon City,PH,6744,804,14000,22.3079093,114.1892738
PH_024,walking,Kindergarten,10,0.13996385406655606,1737,Kowloon City,PH,11876,1737,14000,22.33259506,114.2030695
PH_025,walking,Kindergarten,10,0.11349475971517911,604,Kwun Tong,PH,5866,604,14310,22.30919925,114.2347695
PH_026,walking,Kindergarten,10,0.26768577768866325,549,Kwun Tong,PH,8869,549,13000,22.32913375,114.2096702
PH_027,walking,Kindergarten,10,0.450457091100199,442,Kwun Tong,PH,6419,442,15500,22.29663079,114.2404621
PH_028,walking,Kindergarten,10,0.29408720945186867,165,Kwun Tong,PH,3185,165,14500,22.29709612,114.2414241
PH_029,walking,Kindergarten,10,0.06367746484820734,672,Kwun Tong,PH,7165,672,15000,22.30362703,114.2401157
PH_030,walking,Kindergarten,10,0.3855749524194059,575,Sham Shui Po,PH,6200,575,13500,22.33259923,114.1572215
PH_031,walking,Kindergarten,10,0.3977537954499091,403,Sham Shui Po,PH,3534,403,15000,22.33129743,114.158689
PH_032,walking,Kindergarten,10,0.19922607537554227,1625,Sham Shui Po,PH,10438,1625,17000,22.33373995,114.1549363
PH_033,walking,Kindergarten,10,0.006557998838774665,838,Kwun Tong,PH,7907,838,15000,22.31088938,114.2363044
PH_034,walking,Kindergarten,10,0.9099920672435533,706,Sham Shui Po,PH,11259,706,14500,22.33873777,114.1597527
PH_035,walking,Kindergarten,10,0.4402218382960872,775,Kwun Tong,PH,9662,775,15000,22.29385108,114.2402382
PH_036,walking,Kindergarten,10,0.3691133388297821,512,Wong Tai Sin,PH,9944,512,14000,22.33748532,114.187319
PH_037,walking,Kindergarten,10,0.21014905976116052,543,Kwun Tong,PH,8499,543,15000,22.32142482,114.2200767
PH_038,walking,Kindergarten,10,0.9256730517204208,729,Kwun Tong,PH,13258,729,14500,22.32052259,114.2205098
PH_039,walking,Kindergarten,10,0.1290099509329049,1388,Kwun Tong,PH,11426,1388,14000,22.32165352,114.2154421
PH_040,walking,Kindergarten,10,0.7436238158810229,580,Wong Tai Sin,PH,11295,580,15500,22.33904376,114.1948243
PH_041,walking,Kindergarten,10,0.32503650672192946,1463,Wong Tai Sin,PH,18247,1463,15000,22.34017739,114.1926891
PH_042,walking,Kindergarten,10,2.117809048580388,511,Kowloon City,PH,4942,511,13000,22.32329866,114.1869599
PH_043,walking,Kindergarten,10,0.057392868022405084,500,Wong Tai Sin,PH,4411,500,14850,22.33325498,114.1890826
PH_044,walking,Kindergarten,10,0.44841882176917924,331,Sham Shui Po,PH,4684,331,15000,22.32610707,114.1577264
PH_045,walking,Kindergarten,10,0.20246595361839456,524,Sham Shui Po,PH,6208,524,15500,22.33417458,114.17115
PH_046,walking,Kindergarten,10,0.07894894985625717,1364,Kowloon City,PH,17407,1364,15000,22.31229006,114.1785491
PH_047,walking,Kindergarten,10,0.0630083134966225,4905,Kwun Tong,PH,24618,4905,15000,22.3272648,114.2291594
PH_048,walking,Kindergarten,10,0.11176002452020524,3525,Kwun Tong,PH,23341,3525,14500,22.32076943,114.2350825
PH_049,walking,Kindergarten,10,0.17092592134201545,1326,Sham Shui Po,PH,16843,1326,15000,22.33692876,114.1670269
PH_050,walking,Kindergarten,10,0.38239725234327193,756,Kwun Tong,PH,11985,756,15000,22.33303823,114.2091046
PH_051,walking,Kindergarten,10,0.5569759080698136,1234,Kwun Tong,PH,14753,1234,15000,22.30685942,114.2366629
PH_052,walking,Kindergarten,10,0.12414131501472031,2038,Kwun Tong,PH,22319,2038,15000,22.31719641,114.237906
PH_053,walking,Kindergarten,10,0.165323512708819,3354,Kwun Tong,PH,35277,3354,15000,22.31930218,114.2320151
PH_054,walking,Kindergarten,10,0,327,Wong Tai Sin,PH,3063,327,14000,22.34983826,114.1951275
PH_055,walking,Kindergarten,10,0.4882922869193839,2832,Sham Shui Po,PH,25561,2832,14500,22.33303267,114.1663168
PH_056,walking,Kindergarten,10,0.17863415207909006,1005,Kwun Tong,PH,11404,1005,14000,22.331874,114.2251915
PH_057,walking,Kindergarten,10,0.5336635323413729,401,Kwun Tong,PH,6991,401,14000,22.32833266,114.2260561
PH_058,walking,Kindergarten,10,0.21074939947542254,1388,Kwun Tong,PH,17926,1388,15000,22.32555627,114.226441
PH_059,walking,Kindergarten,10,0.13167019405260846,3463,Sham Shui Po,PH,18748,3463,13200,22.34122473,114.1567751
PH_060,walking,Kindergarten,10,3.7926276045474094,367,Sham Shui Po,PH,4696,367,15000,22.33173591,114.171393
PH_061,walking,Kindergarten,10,0.024653532145864025,2680,Kowloon City,PH,18720,2680,14000,22.32997424,114.2035147
PH_062,walking,Kindergarten,10,0.24708848629617752,1097,Kwun Tong,PH,13612,1097,15000,22.30845044,114.2390538
PH_063,walking,Kindergarten,10,0.6100282431957399,866,Kwun Tong,PH,14060,866,15000,22.31532448,114.2297232
PH_064,walking,Kindergarten,10,0.23150168465429782,1382,Kwun Tong,PH,13467,1382,15000,22.312701,114.2326786
PH_065,walking,Kindergarten,10,0.21377056202492517,1671,Wong Tai Sin,PH,21845,1671,15000,22.35015662,114.2025883
PH_066,walking,Kindergarten,10,0.31345531649573555,598,Wong Tai Sin,PH,7079,598,15000,22.34757921,114.2028018
PH_067,walking,Kindergarten,10,0.17330170838803408,1485,Wong Tai Sin,PH,17833,1485,15000,22.34818565,114.1987453
PH_068,walking,Kindergarten,10,0.2850114501090619,547,Wong Tai Sin,PH,5936,547,13960,22.34822658,114.2030322
PH_069,walking,Kindergarten,10,0.16304261462701325,976,Wong Tai Sin,PH,15440,976,15000,22.33440615,114.1925245
PH_070,walking,Kindergarten,10,0.08842308974940193,674,Wong Tai Sin,PH,5280,674,14430,22.332214,114.1933855
PH_071,walking,Kindergarten,10,0.2382278372698457,1426,Sham Shui Po,PH,18670,1426,15000,22.33679819,114.1559162
PH_072,walking,Kindergarten,10,0.0877559095951576,1134,Kwun Tong,PH,15831,1134,13500,22.31927466,114.2165158
PH_073,walking,Kindergarten,10,0.3654016591259436,920,Wong Tai Sin,PH,12176,920,14500,22.34277292,114.1919329
