origin_id,mode,facility_type,Tr,AF_k,P_i
C_004,walking,Hos,15,0.0,4929.0
C_005,walking,Hos,15,1.8892657549950478,3557.0
C_006,walking,Hos,15,3.216985794546689,6615.0
C_007,walking,Hos,15,3.2632475292312777,13786.0
C_008,walking,Hos,15,0.0,7247.0
C_009,walking,Hos,15,0.6436143754723522,4971.0
C_010,walking,Hos,15,0.0,6353.0
C_011,walking,Hos,15,0.14698010882930945,3904.0
C_012,walking,Hos,15,2.0110368030206476,4839.0
C_013,walking,Hos,15,2.5225327768017647,3999.0
C_014,walking,Hos,15,2.7800960939965793,5698.0
C_015,walking,Hos,15,0.0,4432.0
C_016,walking,Hos,15,2.543829012967394,4909.0
C_017,walking,Hos,15,0.0,3179.0
C_018,walking,Hos,15,1.207105557268492,8550.0
C_019,walking,Hos,15,6.0099462937226305,4950.0
C_020,walking,Hos,15,0.9325548160190325,8980.0
C_021,walking,Hos,15,1.5872265481949324,14586.0
C_022,walking,Hos,15,1.0177284344341562,3947.0
C_023,walking,Hos,15,0.0,6034.0
C_024,walking,Hos,15,0.2571087580122893,10071.0
C_025,walking,Hos,15,0.7092356934838939,11614.0
C_026,walking,Hos,15,0.0,4499.0
H_001,walking,Hos,15,0.97853562130038,41.0
H_002,walking,Hos,15,2.0464662223767625,20.7
H_003,walking,Hos,15,19.744552263882245,112.7
H_004,walking,Hos,15,3.225356712825807,121.9
H_005,walking,Hos,15,3.2485010671079206,138.0
H_006,walking,Hos,15,3.5138485448644836,34.5
H_007,walking,Hos,15,2.8529468019971302,57.5
H_008,walking,Hos,15,4.869663893798426,55.2
H_009,walking,Hos,15,2.807907767697645,2.3
H_010,walking,Hos,15,2.2020746163397202,2.3
H_011,walking,Hos,15,37.785686945669916,2.3
H_012,walking,Hos,15,6.767034456289635,2.3
H_013,walking,Hos,15,33.97832874406386,2.3
H_014,walking,Hos,15,25.6187744105557,32.2
H_015,walking,Hos,15,3.672138411014763,202.4
H_016,walking,Hos,15,11.198414929463105,4.6
H_017,walking,Hos,15,4.845579449256947,163.3
H_018,walking,Hos,15,8.258214261491801,87.4
H_019,walking,Hos,15,4.2634167167502435,168.0
H_020,walking,Hos,15,2.149876225623505,106.0
H_021,walking,Hos,15,3.5520176296851838,162.0
H_022,walking,Hos,15,1.1858247365357024,1600.0
H_023,walking,Hos,15,0.4873650794453874,1090.0
H_024,walking,Hos,15,0.05240686697196106,220.0
H_025,walking,Hos,15,0.3856473269123398,400.0
H_026,walking,Hos,15,1.8583327820964106,509.0
H_027,walking,Hos,15,0.441154109380645,388.0
H_028,walking,Hos,15,1.6030551630889125,612.0
H_029,walking,Hos,15,1.004853034558583,1460.0
H_030,walking,Hos,15,0.0,774.0
PV_001,walking,Hos,15,0.5575064143351137,10791.0
PV_002,walking,Hos,15,0.22285827240176176,4367.0
PV_003,walking,Hos,15,0.14151932672128517,6515.0
PV_004,walking,Hos,15,2.5969502595929406,3265.0
PV_005,walking,Hos,15,1.04337959903687,3873.0
