mode,facility_type,Tr,dest_id,S_j,demand_sum,R_j
walking,Kin,5,K_049,98.0,11381.855418912144,0.008610195472801627
walking,Kin,5,K_050,117.0,10241.614108325084,0.011423980513471446
walking,Kin,5,K_051,318.0,0.0,0.0
walking,Kin,5,K_052,480.0,15427.933552794344,0.0311123974158588
walking,Kin,5,K_053,555.0,1020.994562313489,0.5435876159246295
walking,Kin,5,K_054,201.0,5351.718807365016,0.03755802710026254
walking,Kin,5,K_055,149.0,0.0,0.0
walking,Kin,5,K_056,170.0,8777.89554143399,0.01936682878003674
walking,Kin,5,K_057,150.0,15402.944164189477,0.009738397958277167
walking,Kin,5,K_058,264.0,18822.992394901336,0.014025400130932997
walking,Kin,5,K_059,232.0,7624.116755264453,0.030429754350207713
walking,Kin,5,K_060,126.0,148.9341812793003,0.8460112978612263
walking,Kin,5,K_061,127.0,15383.221450257723,0.008255748018102691
walking,Kin,5,K_062,130.0,13054.677627943933,0.009958116447221268
