ID,facility_type,facility_name,facility_sc,map_latitude,map_longitude,Total_supply,,,,
K_040,Kindergarten,CANNAN KINDERGARTEN (WHAMPOA GARDEN),,22.30576322,114.1915872,358,,,,
K_041,Kindergarten,YMCA OF HONG KONG CHRISTIAN KINDERGARTEN (KAI CHING),,22.33362113,114.2031899,73,,,,
K_042,Kindergarten,BUDDHIST MR. & MRS. CHAN CHART MAN KINDERGARTEN,,22.33177894,114.2028984,248,,,,
K_043,Kindergarten,WILLIAM (SMART) KINDERGARTEN (WHAMPOA) (LOCAL STREAM),,22.30435437,114.1923149,280,,,,
K_044,Kindergarten,HKVNS ALUMNI ASSOCIATION KINDERGARTEN (KCC),,22.31849702,114.1742441,206,,,,
K_045,Kindergarten,CANNAN KINDERGARTEN (LAGUNA CITY),,22.30618903,114.2288061,408,,,,
K_046,Kindergarten,HONG KONG LUTHERAN CHURCH KWUN TONG KINDERGARTEN,,22.31459867,114.2216173,140,,,,
K_047,Kindergarten,ST. BARNABAS' CHURCH KINDERGARTEN,,22.31615079,114.2255681,352,,,,
K_048,Kindergarten,KWUN TONG METHODIST KINDERGARTEN,,22.31567351,114.2208606,266,,,,
K_049,Kindergarten,DIAMOND HILL BAPTIST CHURCH BRIGHT BLOSSOMS KINDERGARTEN,,22.3323016,114.2090817,98,,,,
K_050,Kindergarten,PING SHEK KINGSLAND KINDERGARTEN,,22.33347535,114.2101692,117,,,,
K_051,Kindergarten,THE CHURCH OF CHRIST IN CHINA KEI FAAT KINDERGARTEN,,22.31252891,114.2275564,318,,,,
K_052,Kindergarten,BUDDHIST KAM LAI KINDERGARTEN,,22.30564398,114.238016,480,,,,
K_053,Kindergarten,KWUN TONG BAPTIST CHURCH KINDERGARTEN,,22.31862607,114.2224727,555,,,,
K_054,Kindergarten,SHIN YAT TONG ON YAT KINDERGARTEN,,22.32726728,114.2261155,201,,,,
K_055,Kindergarten,TELFORD GARDENS KINDERGARTEN (LOCAL STREAM),,22.32341473,114.2127584,149,,,,
K_056,Kindergarten,THE CHURCH OF CHRIST IN CHINA KEI WA KINDERGARTEN,,22.32984513,114.2098286,170,,,,
K_057,Kindergarten,SHARON LUTHERAN CHURCH KINDERGARTEN,,22.32174221,114.2203578,150,,,,
K_058,Kindergarten,CHRISTIAN LITTLE ANGEL KINDERGARTEN RICHLAND GARDENS,,22.32909602,114.2076347,264,,,,
K_059,Kindergarten,CHOI HA ESTATE KIT SAM KINDERGARTEN,,22.32546362,114.2172335,232,,,,
K_060,Kindergarten,ST. JAMES CATHOLIC KINDERGARTEN,,22.29415693,114.2383021,126,,,,
K_061,Kindergarten,ST. PHILIP LUTHERAN CHURCH KINDERGARTEN,,22.31496672,114.2289841,127,,,,
K_062,Kindergarten,HONG YING ANGLO-CHINESE KINDERGARTEN,,22.30817245,114.2382888,130,,,,
K_063,Kindergarten,CREATIVE KINDERGARTEN (SCENEWAY GARDEN),,22.3069826,114.2321935,360,,,,
K_064,Kindergarten,S.K.H. KINDLY LIGHT CHURCH HOLY CARPENTER KINDERGARTEN,,22.30252802,114.2390627,127,,,,
