origin_id,mode,facility_type,Tr,AF_k,P_i,dc_eng,Housing_type,t_pop,age_1,t_mmearn,Latitude,Longitude
PV_026,walking,Public Open Space,5,0,2781,Kowloon City,PV,2781,242,17000,22.31685284,114.191271
PV_027,walking,Public Open Space,5,6.528740228567115e-05,2777,Kowloon City,PV,2777,440,40000,22.32938647,114.2005199
PV_028,walking,Public Open Space,5,0,5005,Sham Shui Po,PV,5005,640,31250,22.33377287,114.174473
PV_029,walking,Public Open Space,5,0,4651,Yau Tsim Mong,PV,4651,750,30000,22.31607575,114.1630461
PV_030,walking,Public Open Space,5,1.0403319088220422e-05,4090,Yau Tsim Mong,PV,4090,394,17000,22.31045402,114.1684884
PV_031,walking,Public Open Space,5,0,4396,Kowloon City,PV,4396,729,30000,22.30471666,114.1845144
PV_032,walking,Public Open Space,5,0,9645,Kwun Tong,PV,9645,909,14000,22.31604174,114.2351034
PV_033,walking,Public Open Space,5,0,12357,Kwun Tong,PV,12357,1570,25810,22.3070769,114.2332506
PV_034,walking,Public Open Space,5,0,5678,Kowloon City,PV,5678,1089,28000,22.32339095,114.190396
PV_035,walking,Public Open Space,5,1.1028638947484016e-05,5802,Yau Tsim Mong,PV,5802,934,26560,22.30639559,114.1625146
PV_036,walking,Public Open Space,5,0,2567,Sham Shui Po,PV,2567,72,16500,22.33227931,114.1695622
PV_037,walking,Public Open Space,5,0,3476,Kwun Tong,PV,3476,413,22000,22.3269967,114.2144952
PV_038,walking,Public Open Space,5,0,13142,Kwun Tong,PV,13142,2019,29500,22.3239867,114.2128048
PV_039,walking,Public Open Space,5,1.7531800255512972e-06,3264,Wong Tai Sin,PV,3264,493,26250,22.33356158,114.1968715
PV_040,walking,Public Open Space,5,9.882073917912906e-06,4472,Yau Tsim Mong,PV,4472,935,45000,22.31952231,114.155851
PV_041,walking,Public Open Space,5,0,5604,Sham Shui Po,PV,5604,1122,30000,22.33460465,114.1497904
PV_042,walking,Public Open Space,5,8.078240199888933e-06,4002,Yau Tsim Mong,PV,4002,721,29000,22.30485942,114.1630936
PV_043,walking,Public Open Space,5,0,6647,Kowloon City,PV,6647,793,19000,22.30630575,114.1881364
PV_044,walking,Public Open Space,5,0,30038,Kowloon City,PV,30038,3596,25000,22.30460603,114.1897326
PV_045,walking,Public Open Space,5,0,6746,Kowloon City,PV,6746,823,18500,22.31776388,114.192306
PH_001,walking,Public Open Space,10,0,3913,Sham Shui Po,PH,3913,327,13000,22.34036661,114.1643426
PH_002,walking,Public Open Space,10,0,3209,Sham Shui Po,PH,3209,521,14000,22.33455573,114.1563831
PH_003,walking,Public Open Space,10,0,3923,Wong Tai Sin,PH,3923,399,15700,22.3357047,114.2181498
PH_004,walking,Public Open Space,10,0,10775,Kwun Tong,PH,10775,1218,14750,22.32815005,114.2170403
PH_005,walking,Public Open Space,10,0,5453,Kwun Tong,PH,5453,375,15920,22.32605888,114.2174838
PH_006,walking,Public Open Space,10,0,17817,Wong Tai Sin,PH,17817,869,15000,22.33547117,114.2062267
PH_007,walking,Public Open Space,10,0,13588,Kwun Tong,PH,13588,1284,14500,22.33026916,114.2136127
PH_008,walking,Public Open Space,10,1.3235445473963774e-05,16756,Wong Tai Sin,PH,16756,1258,15000,22.33399414,114.2140005
PH_009,walking,Public Open Space,10,5.722770562638782e-07,8485,Wong Tai Sin,PH,8485,803,16000,22.33408462,114.2170388
PH_010,walking,Public Open Space,10,0,9682,Kwun Tong,PH,9682,761,14600,22.32796205,114.2152899
PH_011,walking,Public Open Space,10,0,16989,Wong Tai Sin,PH,16989,1077,15500,22.3466113,114.1933683
PH_012,walking,Public Open Space,10,0,14147,Wong Tai Sin,PH,14147,1107,14000,22.34423127,114.1919055
PH_013,walking,Public Open Space,10,0,4587,Sham Shui Po,PH,4587,406,14500,22.33551212,114.1539241
PH_014,walking,Public Open Space,10,2.4568309640658796e-07,15655,Sham Shui Po,PH,15655,1013,15000,22.3284513,114.1546811
PH_015,walking,Public Open Space,10,0,5572,Wong Tai Sin,PH,5572,559,15000,22.34269378,114.2089072
PH_016,walking,Public Open Space,10,1.9585682315860363e-05,12066,Wong Tai Sin,PH,12066,713,15000,22.34425863,114.2007507
PH_017,walking,Public Open Space,10,0,6467,Kwun Tong,PH,6467,361,15000,22.31294732,114.2383853
PH_018,walking,Public Open Space,10,2.0386431620999478e-07,12329,Kowloon City,PH,12329,850,15000,22.3163317,114.1819302
PH_019,walking,Public Open Space,10,2.444902525690634e-06,9540,Yau Tsim Mong,PH,9540,907,15000,22.31608676,114.1647109
PH_020,walking,Public Open Space,10,0,16071,Sham Shui Po,PH,16071,1292,15000,22.33240958,114.1462482
PH_021,walking,Public Open Space,10,0,3415,Sham Shui Po,PH,3415,841,13200,22.32975855,114.150291
PH_022,walking,Public Open Space,10,0,3444,Sham Shui Po,PH,3444,790,14000,22.32861818,114.1483264
PH_023,walking,Public Open Space,10,0,6744,Kowloon City,PH,6744,804,14000,22.3079093,114.1892738
PH_024,walking,Public Open Space,10,4.882127994346968e-06,11876,Kowloon City,PH,11876,1737,14000,22.33259506,114.2030695
PH_025,walking,Public Open Space,10,0,5866,Kwun Tong,PH,5866,604,14310,22.30919925,114.2347695
PH_026,walking,Public Open Space,10,0,8869,Kwun Tong,PH,8869,549,13000,22.32913375,114.2096702
PH_027,walking,Public Open Space,10,0,6419,Kwun Tong,PH,6419,442,15500,22.29663079,114.2404621
PH_028,walking,Public Open Space,10,0,3185,Kwun Tong,PH,3185,165,14500,22.29709612,114.2414241
PH_029,walking,Public Open Space,10,0,7165,Kwun Tong,PH,7165,672,15000,22.30362703,114.2401157
PH_030,walking,Public Open Space,10,0,6200,Sham Shui Po,PH,6200,575,13500,22.33259923,114.1572215
PH_031,walking,Public Open Space,10,1.330659189323945e-06,3534,Sham Shui Po,PH,3534,403,15000,22.33129743,114.158689
PH_032,walking,Public Open Space,10,0,10438,Sham Shui Po,PH,10438,1625,17000,22.33373995,114.1549363
PH_033,walking,Public Open Space,10,0,7907,Kwun Tong,PH,7907,838,15000,22.31088938,114.2363044
PH_034,walking,Public Open Space,10,0,11259,Sham Shui Po,PH,11259,706,14500,22.33873777,114.1597527
